forest_type,block,Actinidiaceae,Anacardiaceae,Annonaceae,Apocynaceae,Burseraceae,Cannabaceae,Clusiaceae,Dipterocarpaceae,Ebenaceae,Elaeocarpaceae,Euphorbiaceae,Euphorbiaceae.,Fabaceae,Fagaceae,Ixonanthaceae,Lauraceae,Malvaceae,Melastomataceae,Melastomataceae ,Meliaceae,Moraceae,Myrtaceae,Phyllanthaceae,Rhizophoraceae,Rubiaceae,Rutaceae,Sapindaceae,Sapotaceae,Thymelaeaceae
10 year old,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10 year old,2,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10 year old,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
21 year old,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21 year old,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21 year old,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0
5 year old,1,0,0,1,0,0,1,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
5 year old,2,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
5 year old,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0
secondary,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0
secondary,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
secondary,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0
