Date,Site,Site Type,Light,Light,Light,Light,Light,Light,Light,Average Light (Lux),Rel.Humidity,Rel.Humidity,Rel.Humidity,Rel.Humidity,Rel.Humidity,Rel.Humidity,Rel.Humidity,Average Rel. Humidity (%),Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Average Temperature (C)
18th Sep,1,21 years,4122,14800,2806,2142,1430,1160,1301,3965.9,61.0,60.5,59.3,57.0,60.0,47.5,53.5,57.0,30.0,30.4,30.9,31.1,37.0,36.5,34.9,33.0
18th Sep,2,10 years,2200,924,2930,3270,671,7188,20000,5311.9,60.2,60.4,62.7,64.1,63.2,64.5,64.1,62.7,32,32.1,32.6,32.3,32.7,32.9,32.7,32.47142857
18th Sep,3,5 years,6350,11270,2620,4070,20000,10060,4302,8381.7,62.4,54.1,59.6,55.3,58.3,57.9,60.1,58.24285714,32.3,32.5,32.5,32.5,31.6,32.3,32.3,32.28571429
18th Sep,4,Secondary Forest,1257,1613,1860,14941,3610,2810,5190,4468.7,48.4,49.9,53,55.7,56.7,56.2,54.6,53.5,31.6,31.8,31.9,32.1,33.3,33.7,33.9,32.61428571
20th Sep,1,21 years,1451,1856,12690,5208,3450,2724,3390,4395.6,72.5,70.2,73.1,75.5,72.3,72.1,71.1,72.4,29,29.3,30,28.9,29.1,29.5,29.7,29.35714286
20th Sep,2,10 years,727,891,472,1920,1187,862,813,981.7,72.5,70.9,69.9,73.5,75.7,73.5,74.5,72.92857143,31.6,31.8,31.6,30.7,30.6,30.7,30.6,31.08571429
20th Sep,3,5 years,3220,6060,8440,20000,12400,13670,12630,10917.1,70.2,69.5,68,61.3,80,67.5,61.2,68.24285714,31.5,31.5,31.5,31.5,30.7,33.8,32.9,31.91428571
20th Sep,4,Secondary Forest,20000,20000,20000,979,1383,12680,1139,10883.0,62.5,60,57.7,60.1,65.1,65.3,66.3,62.42857143,32.9,33.6,34.5,33.6,32.3,32.2,32,33.01428571
21st Sep,1,21 years,1115,600,592,156,140,155,277,433.6,70.2,73,75.3,69.1,69.4,72.2,72.3,71.64285714,29,29,28.3,29.3,29.3,29.1,28.4,28.91428571
21st Sep,2,10 years,379,205,180,170,361,120,91,215.1,82.6,80,78.9,74.8,78.1,76.4,75.8,78.08571429,28,28.3,28.3,29.3,29.3,29.1,29,28.75714286
21st Sep,3,5 years,1212,1050,1750,1962,1413,3070,1381,1691.1,85.1,83.8,86.1,79.7,81.2,77.6,80.2,81.95714286,28.1,28.2,28.1,28.6,28.7,28.6,28.6,28.41428571
21st Sep,4,Secondary Forest,416,398,688,1150,1189,1281,538,808.6,86.3,87.1,88.6,84.2,82,81,81.5,84.38571429,28.1,27.7,27.5,27.89,27.9,27.9,27.9,27.84142857
