forest_type,site,block,mean_litter_depth_mm,mean_soil_pH_field,mean_soil_pH_lab,mean_soil_water_%,mean_canopy_cover,mean_light_flux,mean_rel_humidity,mean_temp,Average of total_number_of seedlings,Average of seedling_ha,Average of total_groundcover,Average tree count,Average of trees_ha,Average of basal_area,Average of tree_volume
21 year old,1,1,47.75,4.26,,20.43,89.61,"2,932.00",57,33,,625,99.5,11,"5,500.00",0.18,1.29
21 year old,1,2,39.31,4.85,,25.7,94.58,"2,932.00",57,33,,1125,99.5,10,"5,000.00",0.27,2.23
21 year old,1,3,44.25,4.88,,11.08,92.96,"2,932.00",57,33,,0,98.5,10,"5,000.00",0.64,5.47
10 year old,2,1,98.13,5.91,,35.02,95.06,"2,170.00",37,30.4,,2125,99.5,11,"5,500.00",0.21,2.24
10 year old,2,2,100.63,5.56,,26.56,95.83,"2,170.00",37,30.4,,3375,98.75,12,"6,000.00",0.09,0.65
10 year old,2,3,57.5,5.34,,26.31,94.54,"2,170.00",37,30.4,,3750,95.5,12,"6,000.00",0.12,0.7
5 year old,3,1,33.31,5.13,,18.67,58.66,"6,997.00",73,31,,1375,88.25,11,"5,500.00",0.25,1.93
5 year old,3,2,13.38,5.63,,32.11,69.32,"6,997.00",73,31,,1625,96,9,"4,500.00",0.15,0.98
5 year old,3,3,72.19,4.88,,31.66,91.16,"6,997.00",73,31,,3500,98.5,10,"5,000.00",0.17,1.23
secondary,4,1,44.06,4.91,,28.31,91.42,"5,387.00",70,31,,375,97.25,12,"6,000.00",0.19,1.51
secondary,4,2,44.75,4.84,,37.98,88.82,"5,387.00",70,31,,1125,103.25,14,"7,000.00",0.54,6.63
secondary,4,3,37,5.38,,23.16,93.76,"5,387.00",70,31,,2375,100,11,"5,500.00",0.32,3.44
